insert into users (id, id_equipo, username, fullname, edad, pais) values (1, null, 'jdrewson0', 'Joane Drewson', 21, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (2, null, 'bmorsom1', 'Blanca Morsom', 28, 'Chile');
insert into users (id, id_equipo, username, fullname, edad, pais) values (3, null, 'mbastian2', 'Morgana Bastian', 35, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (4, null, 'ehodges3', 'Eba Hodges', 40, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (5, 4, 'swaggitt4', 'Sid Waggitt', 27, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (6, null, 'edrysdell5', 'Ermanno Drysdell', 14, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (7, 2, 'apitkeathley6', 'Aldo Pitkeathley', 27, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (8, null, 'msandercroft7', 'Mickie Sandercroft', 18, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (9, 8, 'fspark8', 'Fabian Spark', 18, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (10, 14, 'mrostron9', 'Meaghan Rostron', 33, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (11, 13, 'gwealda', 'Gerrie Weald', 20, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (12, null, 'tkiljanb', 'Tuck Kiljan', 40, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (13, null, 'aerrichielloc', 'Ariana Errichiello', 12, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (14, 2, 'alambotd', 'Alair Lambot', 30, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (15, 5, 'vmurriganse', 'Viviyan Murrigans', 39, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (16, null, 'bpietersenf', 'Bonnee Pietersen', 14, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (17, 10, 'bbransdong', 'Beryle Bransdon', 12, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (18, null, 'oattewh', 'Ofilia Attew', 32, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (19, 9, 'tjacobovitchi', 'Toby Jacobovitch', 37, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (20, null, 'ltodj', 'Leif Tod', 28, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (21, 7, 'agallemorek', 'Angelo Gallemore', 29, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (22, null, 'rkelingel', 'Rochette Kelinge', 40, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (23, 11, 'mthaxterm', 'Maressa Thaxter', 35, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (24, 6, 'emulqueenyn', 'Eleanore Mulqueeny', 12, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (25, null, 'cmellerso', 'Cosetta Mellers', 36, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (26, null, 'kjossump', 'Kelsey Jossum', 34, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (27, null, 'lblowfeldeq', 'Lorine Blowfelde', 14, 'United States');
